peak,psr,pnr,ratio_peak_to_median,periodic_sum,fwhm,w_peak_80,w_mean_80,w_std_80,w_energy_80,sharpness_80,w_peak_160,w_mean_160,w_std_160,w_energy_160,sharpness_160,label
0.009088,1.071801,6.757365,6.757365,1.312525,2.0,0.009088,0.002332,0.002042,0.000769,3.307179,0.009088,0.002178,0.001697,0.00122,4.069832,0.0
0.009917,1.174465,7.430705,7.430705,1.135617,2.0,0.009917,0.002781,0.002349,0.00106,3.037045,0.009917,0.002013,0.001919,0.001237,4.117652,0.0
0.014062,1.046364,9.660724,9.660724,1.329982,4.0,0.014062,0.004131,0.00344,0.002312,2.885953,0.014062,0.003024,0.002913,0.002821,3.788307,1.0
0.013812,1.148425,9.8697,9.8697,1.03409,2.0,0.013812,0.002878,0.002504,0.001164,4.365817,0.013812,0.002313,0.002005,0.001499,5.73216,1.0
0.009994,1.077116,6.976897,6.976897,1.277172,2.0,0.009994,0.002264,0.002008,0.000732,3.847674,0.009994,0.002091,0.001689,0.001156,4.676588,0.0
0.008939,1.08195,6.687045,6.687045,1.236995,2.0,0.008939,0.001959,0.001638,0.000522,4.258692,0.008939,0.001713,0.001472,0.000816,4.906657,0.0
0.010687,1.146051,7.607117,7.607117,1.410256,2.0,0.010687,0.00247,0.002044,0.000822,4.017929,0.010687,0.001964,0.001728,0.001095,5.043517,0.0
0.0100239651897865,1.0451911791414012,7.111470560543947,7.111470560543947,1.159817544511882,3.0,0.0100239651897865,0.002441256366671,0.00229410265731,0.0008978111720071,3.303864774398713,0.0100239651897865,0.0021982570620092,0.001971236615895,0.0013948972650429,3.967935725717176,1.0
0.012765,1.056078,9.526914,9.526914,1.270152,4.0,0.012765,0.003144,0.002957,0.00149,3.253122,0.012765,0.002535,0.00245,0.001989,4.173764,1.0
0.009258,1.085491,6.856736,6.856736,1.131042,2.0,0.009258,0.001944,0.001799,0.000561,4.062654,0.009258,0.001524,0.001478,0.000721,5.229847,0.0
0.014477,1.023856,10.405069,10.405069,1.210394,2.0,0.014477,0.003857,0.003186,0.002003,3.331672,0.014477,0.002969,0.002719,0.002593,4.230227,1.0
